content_sha256,source_file,scenario,segment,begin_frame,ground_truth,motion_context,training_full_model_danger_score,group_validation_danger_score,group_validation_prediction,stop_required,nested_danger_score,nested_safe_permission_threshold,nested_selected_candidate,nested_stop_required
6ABD3EDEEEFBACCF20EC156F17207F6DDD5A6516D1ACD41D1A583C7DAE404F4C,太阳能板直角边源.txt,太阳能板直角边源,2,729,SAFE,TURN_LEFT,0.220665685953594,0.310972729733117,UNKNOWN,1,0.310972729733117,0.228,IMAGE_RIDGE_0.03,1
CB6A71CF87A6E02438D50EC419C9F3CE2FBB500FE80C29E5B46658FB00F2092E,太阳能板直角边源.txt,太阳能板直角边源,6,868,SAFE,FORWARD,0.129891110220689,0.290362038751088,UNKNOWN,1,0.290362038751088,0.227,IMAGE_RIDGE_0.03,1
E59780318301DEC60F894A87E8CC8F55DE1832AF229040E76C976E4EA8A13894,太阳能板直角边源.txt,太阳能板直角边源,7,3,SAFE,UNKNOWN,0.0530423396623014,0.266161629269199,UNKNOWN,1,0.347725962257658,0.232,IMAGE_RIDGE_0.10,1
D2C0F694616045A7F603B66DA8D4F5AFF6A9B71A8D912117EDB6138C471DDF7F,太阳能板直角边源.txt,太阳能板直角边源,7,201,SAFE,UNKNOWN,0.0620423522371582,0.289600915515669,UNKNOWN,1,0.369818284178281,0.232,IMAGE_RIDGE_0.10,1
FBB0DCF0535B841B187AD1F1D5EB267717BA0CD2C7FAC22D35661EACB1F1A8FF,太阳能板直角边源.txt,太阳能板直角边源,7,236,SAFE,UNKNOWN,0.0602032078653604,0.284841141098827,UNKNOWN,1,0.3661301706591,0.232,IMAGE_RIDGE_0.10,1
B49FB54ED62A50D6A02AB283F100022843E6FBA8BC431DCF5A4D51C38CC98AD7,太阳能板直角边源.txt,太阳能板直角边源,7,270,SAFE,UNKNOWN,0.0597639220610205,0.283584863457201,UNKNOWN,1,0.364688793784608,0.232,IMAGE_RIDGE_0.10,1
3FF86C2934DF785148FA895FFE78211C6CDA1373580064B45977E862AA1B09B0,太阳能板直角边源.txt,太阳能板直角边源,7,305,SAFE,UNKNOWN,0.0610590149223128,0.288566131081166,UNKNOWN,1,0.369200818039708,0.232,IMAGE_RIDGE_0.10,1
2C7731E9CFABCAA8AF9166F68E3BFC09C9EE19D2EEE61EEA336073FA101F6B66,太阳能板直角边源.txt,太阳能板直角边源,7,339,SAFE,UNKNOWN,0.0598817676154147,0.284797414079598,UNKNOWN,1,0.365999411785495,0.232,IMAGE_RIDGE_0.10,1
40DB47A5784884ACD6DB0F6CD06AA36B6857FC2CC05AE84892A85068D913E537,太阳能板直角边源.txt,太阳能板直角边源,7,375,SAFE,UNKNOWN,0.0629386710524859,0.295626838645741,UNKNOWN,1,0.375271641361441,0.232,IMAGE_RIDGE_0.10,1
F6A57B4BCB0E811A196C3556A4AF70E443BD6CB596BFB1B4BE21265DBEDAA9B7,太阳能板直角边源.txt,太阳能板直角边源,7,409,SAFE,UNKNOWN,0.0620672820572344,0.302347728824544,UNKNOWN,1,0.380013545817803,0.232,IMAGE_RIDGE_0.10,1
9E30A82DE19DC2B1F2B7295987747A2E97AB762A70E463074103C148AE0E7B2F,太阳能板直角边源.txt,太阳能板直角边源,7,444,SAFE,UNKNOWN,0.0572311966546195,0.283619152296409,UNKNOWN,1,0.364583124700296,0.232,IMAGE_RIDGE_0.10,1
FEBDF5E0229A322B70BF553970E5E383C38EB77412A74ACC5F961F943A6E9173,太阳能板直角边源.txt,太阳能板直角边源,9,717,SAFE,TURN_RIGHT,0.355127186616055,0.311397367916607,UNKNOWN,1,0.51785587570003,0.126,IMAGE_ELASTIC_0.03,1
EED7BCAF23D4BA23D196B1ED473917FF64A98C70283216AACB84E3472A9C5BBB,太阳能板直角边源.txt,太阳能板直角边源,9,752,SAFE,TURN_RIGHT,0.215715892179749,0.244495115913394,UNKNOWN,1,0.47711490447704,0.126,IMAGE_ELASTIC_0.03,1
