content_sha256,snapshot_id,source_file,scenario,segment,begin_frame,ground_truth,notes,motion_context,motion_notes
09EE6D2D753F47FE7401E5395F07F5F3E223FE1F3C34DF42283630D744F655AC,太阳能板边缘中心旋转扫描:s1:b2,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1687,UNLABELED,,REVERSE,NaN
1571F52166E308708E655B5075A14F2B21E346E1185FB4A6B84733FC951FA831,太阳能板边缘中心旋转扫描:s1:b3,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1722,UNLABELED,,REVERSE,NaN
FB8A67A75188D2FEC82F274E8BAEDD6A057E7B1B02C5B7B6C2C64F93405C20D6,太阳能板边缘中心旋转扫描:s1:b4,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1756,UNLABELED,,REVERSE,NaN
4738C220833DF342AB769F13A95BB026C51DFF4F961B7006B9A7E8A0F58180A0,太阳能板边缘中心旋转扫描:s1:b5,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1791,UNLABELED,,REVERSE,NaN
6669594F34C84FC51678D798D1607CC85996792398D6698A465D8E1A5B05756E,太阳能板边缘中心旋转扫描:s1:b6,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1825,UNLABELED,,TURN_RIGHT,NaN
74F8A83AE2430E9FAB98C791A28A2A38F1A8D397C4DE1E389B85CF4C2EB2B0F0,太阳能板边缘中心旋转扫描:s1:b7,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1860,UNLABELED,,TURN_RIGHT,NaN
ADEF8C9B36CE64F18720BE93AC8CC84D97D1BD11BA38D862DBB778F4B287CD6C,太阳能板边缘中心旋转扫描:s1:b8,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1894,UNLABELED,,TURN_RIGHT,NaN
3AE88B103E0A9239D497F267CA7EEAB57587CA1422BBAD21CA345BFF508BA21D,太阳能板边缘中心旋转扫描:s1:b9,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1929,UNLABELED,,TURN_RIGHT,NaN
FBD51FE5598BA1488A8072C1E88763B4461F58D7EBA2DCF88993ED5123EDB7C9,太阳能板边缘中心旋转扫描:s1:b10,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1964,UNLABELED,,TURN_RIGHT,NaN
6AD3EF6D8902D94E7A7030025DA7A2BFF2774AA80176D72F7327FAF1EF940EE5,太阳能板边缘中心旋转扫描:s1:b11,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,1999,UNLABELED,,TURN_RIGHT,NaN
594378B19FDFF03E9C704DB265CD1DDFE0BF594E93E71C2CC8D0E11753C8F8A7,太阳能板边缘中心旋转扫描:s1:b12,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2033,UNLABELED,,TURN_RIGHT,NaN
A9FDB3072891B68071AC2237836DACDA2DC8A21555FC08E9A96613257C09D7B5,太阳能板边缘中心旋转扫描:s1:b13,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2068,UNLABELED,,TURN_RIGHT,NaN
10A5726273758FD1E648A9E4E47F2EE4F21AAC883482B997F28E83AC2184B049,太阳能板边缘中心旋转扫描:s1:b14,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2103,UNLABELED,,TURN_RIGHT,NaN
9EE9E97A512D4EB609C9D0559E9C85077C9BF70B7600A65D12B340450BC1D07F,太阳能板边缘中心旋转扫描:s1:b15,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2137,UNLABELED,,TURN_RIGHT,NaN
607FC732C4082BEE4995DFB0FE7966DBFB814A75EBC6701D5F8C1BC4E537729E,太阳能板边缘中心旋转扫描:s1:b16,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2172,UNLABELED,,TURN_RIGHT,NaN
3CD5BF7D2E944D68244F844CDC791DEB37DEA8CA6E43686587D3A457322FC8E7,太阳能板边缘中心旋转扫描:s1:b17,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2206,UNLABELED,,TURN_RIGHT,NaN
4712FFE123A89766BD02F1D7C4005F4CC3C3961653D9C7F7CAFD2490141F8A12,太阳能板边缘中心旋转扫描:s1:b18,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2241,UNLABELED,,TURN_RIGHT,NaN
CD71BC8E2126264028CEEBD5EFBE5EE859E4FA5153E709F7EEDDC206373C5540,太阳能板边缘中心旋转扫描:s1:b19,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2275,UNLABELED,,TURN_RIGHT,NaN
BD736EF347ABF1AD7ECEF29861EE8DAD129E56FF3F48F8ED9CA3EF330B970880,太阳能板边缘中心旋转扫描:s1:b20,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2311,UNLABELED,,TURN_RIGHT,NaN
B7E80B5B7A23668EB4A846A772ECC8008E4448ED7B85EFEEEF389FC7781449E5,太阳能板边缘中心旋转扫描:s1:b21,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2345,UNLABELED,,TURN_RIGHT,NaN
20CA3DC504F5F4D32128A25A796643779505BB1AC3ADDFF81B1BF9C64F183AA0,太阳能板边缘中心旋转扫描:s1:b22,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2379,UNLABELED,,TURN_RIGHT,NaN
036EF071C3C2AF38F5340EBAC67DDDD65AC33C404ED2AE673E3164429C371338,太阳能板边缘中心旋转扫描:s1:b23,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2414,UNLABELED,,TURN_RIGHT,NaN
A6F2045AD54A09655E6AC7826292B648B31D455C7DD63423CCA065CAE847E701,太阳能板边缘中心旋转扫描:s1:b24,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2449,UNLABELED,,TURN_RIGHT,NaN
1A7514CDA9CA2CC8356622198CA5DB8712E12A3F12A1992C4D6A479D90D993E3,太阳能板边缘中心旋转扫描:s1:b25,太阳能板边缘中心旋转扫描.txt,太阳能板边缘中心旋转扫描,1,2483,UNLABELED,,TURN_RIGHT,NaN
