"content_sha256","duplicate_count","source_file","scenario","segment","snapshot_id","frame"
"01E5D974BA54E744810064FD4BC41E3384AABE15CF87A2AA4025B17FD84D01E2","2","safe.txt","safe","1","safe:s1:b1","903"
"01E5D974BA54E744810064FD4BC41E3384AABE15CF87A2AA4025B17FD84D01E2","2","太阳能板直角边源.txt","太阳能板直角边源","2","太阳能板直角边源:s2:b13","903"
"022128C02132B85A8D3147993E17CFA91D5C571AFFB87FD2E0F71AEFA40547D2","2","safe.txt","safe","1","safe:s1:b12","1283"
"022128C02132B85A8D3147993E17CFA91D5C571AFFB87FD2E0F71AEFA40547D2","2","太阳能板直角边源.txt","太阳能板直角边源","2","太阳能板直角边源:s2:b24","1283"
"036EF071C3C2AF38F5340EBAC67DDDD65AC33C404ED2AE673E3164429C371338","2","太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b23","2414"
"036EF071C3C2AF38F5340EBAC67DDDD65AC33C404ED2AE673E3164429C371338","2","太阳能板直角边源.txt","太阳能板直角边源","9","太阳能板直角边源:s9:b69","2414"
"03C0764DEFAE5D16E3CB21FD228550E23D81CD0A3B55C18B0FF0F6C5D176335A","2","safe.txt","safe","1","safe:s1:b19","1525"
"03C0764DEFAE5D16E3CB21FD228550E23D81CD0A3B55C18B0FF0F6C5D176335A","2","太阳能板直角边源.txt","太阳能板直角边源","2","太阳能板直角边源:s2:b31","1525"
"045899872D1051AD00AEA82E2C55027DFD0619BDD73D1C416F995631742FA364","2","左转极限.txt","左转极限","1","左转极限:s1:b2","276"
"045899872D1051AD00AEA82E2C55027DFD0619BDD73D1C416F995631742FA364","2","太阳能板直角边源.txt","太阳能板直角边源","3","太阳能板直角边源:s3:b5","276"
"07ABD7D92F44A93D68C9A1AA97C8659D82B00362234FA4EB8E4A4D0C5E38CE72","2","safe.txt","safe","1","safe:s1:b7","1111"
"07ABD7D92F44A93D68C9A1AA97C8659D82B00362234FA4EB8E4A4D0C5E38CE72","2","太阳能板直角边源.txt","太阳能板直角边源","2","太阳能板直角边源:s2:b19","1111"
"0836BF8BBB73D9F1A24CF3650677501E401A17C36F38454D7533C2043A0C5D99","2","左转极限.txt","左转极限","1","左转极限:s1:b20","900"
"0836BF8BBB73D9F1A24CF3650677501E401A17C36F38454D7533C2043A0C5D99","2","太阳能板直角边源.txt","太阳能板直角边源","3","太阳能板直角边源:s3:b23","900"
"09EE6D2D753F47FE7401E5395F07F5F3E223FE1F3C34DF42283630D744F655AC","2","太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b2","1687"
"09EE6D2D753F47FE7401E5395F07F5F3E223FE1F3C34DF42283630D744F655AC","2","太阳能板直角边源.txt","太阳能板直角边源","9","太阳能板直角边源:s9:b48","1687"
"0EE05508C96F7CF000332B5788744C572638E830DEA8754CABF93E6623858812","2","两太阳能板过度.txt","两太阳能板过度","1","两太阳能板过度:s1:b17","1552"
"0EE05508C96F7CF000332B5788744C572638E830DEA8754CABF93E6623858812","2","太阳能板直角边源.txt","太阳能板直角边源","7","太阳能板直角边源:s7:b41","1552"
"10A5726273758FD1E648A9E4E47F2EE4F21AAC883482B997F28E83AC2184B049","2","太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b14","2103"
"10A5726273758FD1E648A9E4E47F2EE4F21AAC883482B997F28E83AC2184B049","2","太阳能板直角边源.txt","太阳能板直角边源","9","太阳能板直角边源:s9:b60","2103"
"110323AE35A6596EE7C630F417D45AF071F312DAED4B645795F544D13B34BDD1","2","太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b28","2587"
